Status_Pompa  Timestamp
ON 2024-02-09 15:32:47
OFF 2024-02-09 15:35:35
OFF 2024-02-09 16:46:13
ON 2024-02-09 16:46:20
OFF 2024-02-09 16:52:34
ON 2024-02-09 16:53:34
OFF 2024-02-09 16:53:56
ON 2024-02-09 16:53:58
OFF 2024-02-09 16:54:00
ON 2024-02-09 16:54:01
OFF 2024-02-09 16:54:02
ON 2024-02-09 16:54:02
OFF 2024-02-09 16:55:39
OFF 2024-02-17 20:11:19
ON 2024-02-17 20:11:20
OFF 2024-02-17 20:36:23
ON 2024-02-17 20:36:40
OFF 2024-02-17 20:48:41
ON 2024-02-17 20:48:43
OFF 2024-02-17 20:48:44
ON 2024-02-17 20:51:36
OFF 2024-02-17 20:51:37
ON 2024-02-17 20:51:38
OFF 2024-02-17 20:55:38
ON 2024-02-17 21:00:04
OFF 2024-02-17 21:00:05
ON 2024-02-17 21:00:05
OFF 2024-02-17 21:00:06
ON 2024-02-17 21:00:12
OFF 2024-02-17 21:00:13
ON 2024-02-17 21:00:14
OFF 2024-02-17 21:00:14
ON 2024-02-17 21:00:15
OFF 2024-02-17 21:00:36
ON 2024-02-17 21:01:53
OFF 2024-02-17 21:04:36
ON 2024-02-17 21:05:47
OFF 2024-02-17 21:06:37
ON 2024-02-17 21:09:04
OFF 2024-02-17 21:09:21
ON 2024-02-17 21:16:17
OFF 2024-02-17 21:18:16
ON 2024-02-17 21:23:32
OFF 2024-02-17 21:23:33
ON 2024-02-17 21:25:13
OFF 2024-02-17 21:25:14
ON 2024-02-17 21:25:19
OFF 2024-02-17 21:27:43
ON 2024-02-17 21:27:45
OFF 2024-02-17 21:27:46
ON 2024-02-17 21:31:03
OFF 2024-02-17 21:46:38
ON 2024-02-17 21:47:04
OFF 2024-02-17 21:49:01
ON 2024-02-17 21:54:06
OFF 2024-02-17 21:54:24
ON 2024-02-17 21:58:51
OFF 2024-02-17 21:58:55
ON 2024-02-17 21:58:56
OFF 2024-02-17 21:59:02
ON 2024-02-17 21:59:03
OFF 2024-02-17 21:59:12
ON 2024-02-17 21:59:37
OFF 2024-02-17 21:59:43
ON 2024-02-17 22:01:21
OFF 2024-02-17 22:01:24
ON 2024-02-17 22:01:40
OFF 2024-02-17 22:01:42
ON 2024-02-17 22:01:44
OFF 2024-02-17 22:01:47
